,id,listing_url,name,host_id,latitude,longitude,property_type,room_type,price,accommodates,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,SuperHost,bedrooms_n,beds_n,baths_n
58,196410,https://www.airbnb.com/rooms/196410,Rental unit in Los Angeles · ★4.78 · 1 bedroom · 1 bed · 1 bath,78804,34.08187,-118.25663,Entire rental unit,Entire home/apt,$140.00,2,4.78,4.81,4.56,4.77,4.88,4.72,4.47,Yes,1,1,1.0
59,20585,https://www.airbnb.com/rooms/20585,Guesthouse in Los Angeles · ★4.92 · 1 bedroom · 1 bed · 1 bath,77857,33.98047,-118.46514,Entire guesthouse,Entire home/apt,$138.00,2,4.92,4.95,4.93,4.96,4.97,4.89,4.84,Yes,1,1,1.0
60,61582,https://www.airbnb.com/rooms/61582,Home in Los Angeles · ★4.93 · Studio · 1 bed · 1 bath,298216,34.11082,-118.23036,Entire home,Entire home/apt,$86.00,2,4.93,4.93,4.86,5.0,4.86,4.93,4.93,Yes,Studio,1,1.0
61,197756,https://www.airbnb.com/rooms/197756,Condo in Los Angeles · ★4.73 · 1 bedroom · 2 beds · 1 bath,964494,34.08618,-118.27651,Entire condo,Entire home/apt,$141.00,3,4.73,4.78,4.83,4.9,4.91,4.91,4.6,No,1,2,1.0
62,63416,https://www.airbnb.com/rooms/63416,Home in Hollywood · ★4.99 · 1 bedroom · 1 bed · 1 bath,309512,34.11344,-118.32399,Private room in home,Private room,$172.00,2,4.99,4.91,4.91,4.97,4.97,4.98,4.89,No,1,1,1.0
63,20786,https://www.airbnb.com/rooms/20786,Guesthouse in Los Angeles · ★4.93 · 1 bedroom · 1 bed · 1 bath,55411,34.11187,-118.32479,Entire guesthouse,Entire home/apt,$143.00,2,4.93,4.93,4.93,5.0,5.0,4.93,4.9,Yes,1,1,1.0
64,22355,https://www.airbnb.com/rooms/22355,Guesthouse in Los Angeles · ★4.90 · 1 bedroom · 1 bed · 1 bath,55411,34.11374,-118.32503,Entire guesthouse,Entire home/apt,$131.00,2,4.9,4.82,4.84,5.0,4.95,4.97,4.63,Yes,1,1,1.0
65,198613,https://www.airbnb.com/rooms/198613,Bungalow in Los Angeles · ★5.0 · 1 bedroom · 1 bed · 1 bath,969656,34.08538,-118.34455,Entire bungalow,Entire home/apt,$85.00,1,5.0,4.94,4.94,5.0,5.0,4.75,4.88,No,1,1,1.0
66,23710,https://www.airbnb.com/rooms/23710,Guest suite in Los Angeles · ★4.93 · 1 bedroom · 1 bed · 1 bath,94038,34.12057,-118.18934,Entire guest suite,Entire home/apt,$191.00,2,4.93,4.95,4.94,4.99,4.99,4.87,4.9,Yes,1,1,1.0
67,203991,https://www.airbnb.com/rooms/203991,Condo in Santa Monica · ★4.67 · 1 bedroom · 1 bed · 1 bath,231825,34.03301,-118.46104,Entire condo,Entire home/apt,$105.00,2,4.67,5.0,5.0,4.67,5.0,4.67,4.67,No,1,1,1.0
68,23925,https://www.airbnb.com/rooms/23925,Home in Los Angeles · ★4.89 · 1 bedroom · 1 bed · 1 bath,95543,34.0025,-118.4657,Entire home,Entire home/apt,$297.00,2,4.89,4.96,4.97,4.99,4.94,4.81,4.81,No,1,1,1.0
69,65467,https://www.airbnb.com/rooms/65467,Home in Culver City · 1 bedroom · 1 bed · 2 baths,61864,34.02438,-118.38374,Private room in home,Private room,$300.00,2,,,,,,,,No,1,1,2.0
70,67089,https://www.airbnb.com/rooms/67089,Guesthouse in Culver City · ★4.93 · 1 bedroom · 1 bed · 1 bath,210344,34.00985,-118.40798,Entire guesthouse,Entire home/apt,$140.00,3,4.93,4.95,4.91,4.94,4.94,4.91,4.87,Yes,1,1,1.0
71,206662,https://www.airbnb.com/rooms/206662,Condo in Los Angeles · ★4.82 · 1 bedroom · 2 beds · 1 shared bath,33861,34.1042,-118.34748,Private room in condo,Private room,$39.00,1,4.82,4.8,4.76,4.89,4.92,4.92,4.87,No,1,2,1.0
72,23979,https://www.airbnb.com/rooms/23979,Guest suite in Los Angeles · ★4.96 · 1 bedroom · 1 bed · 1 bath,55411,34.11957,-118.32013,Entire guest suite,Entire home/apt,$259.00,2,4.96,4.92,4.92,5.0,5.0,4.92,4.88,Yes,1,1,1.0
73,24030,https://www.airbnb.com/rooms/24030,Bungalow in Venice · ★4.80 · 1 bedroom · 1 bed · 1 bath,96147,33.98798,-118.47245,Entire bungalow,Entire home/apt,$130.00,2,4.8,4.8,4.43,4.8,4.87,4.82,4.66,No,1,1,1.0
74,210489,https://www.airbnb.com/rooms/210489,Townhouse in Los Angeles · ★4.57 · 3 bedrooms · 5 beds · 3 baths,76111,34.05303,-118.39449,Entire townhouse,Entire home/apt,$340.00,8,4.57,4.57,4.5,4.93,4.93,4.43,4.64,No,3,5,3.0
