GEO_ID,NAME,P1_001N,P1_001NA
Geography,Geographic Area Name, !!Total,Annotation of  !!Total
860Z200US91945,ZCTA5 91945,27814,null
860Z200US91948,ZCTA5 91948,87,null
860Z200US91950,ZCTA5 91950,57849,null
860Z200US91962,ZCTA5 91962,1860,null
860Z200US91963,ZCTA5 91963,1101,null
860Z200US91977,ZCTA5 91977,60795,null
860Z200US91978,ZCTA5 91978,9949,null
860Z200US91980,ZCTA5 91980,145,null
860Z200US92003,ZCTA5 92003,4781,null
860Z200US92004,ZCTA5 92004,3414,null
860Z200US92007,ZCTA5 92007,10981,null
860Z200US92008,ZCTA5 92008,27282,null
860Z200US92009,ZCTA5 92009,44816,null
860Z200US92010,ZCTA5 92010,18887,null
860Z200US92011,ZCTA5 92011,23757,null
860Z200US92014,ZCTA5 92014,13203,null
860Z200US92019,ZCTA5 92019,45108,null
860Z200US92020,ZCTA5 92020,60454,null
860Z200US92021,ZCTA5 92021,70584,null
860Z200US92024,ZCTA5 92024,51190,null
860Z200US92025,ZCTA5 92025,51586,null
860Z200US92026,ZCTA5 92026,52797,null
860Z200US92027,ZCTA5 92027,56840,null
860Z200US92028,ZCTA5 92028,51614,null
860Z200US92029,ZCTA5 92029,21236,null
860Z200US92036,ZCTA5 92036,3735,null
860Z200US92037,ZCTA5 92037,41260,null
860Z200US92040,ZCTA5 92040,43640,null
860Z200US92054,ZCTA5 92054,38667,null
860Z200US92055,ZCTA5 92055,9684,null
860Z200US92056,ZCTA5 92056,53750,null
860Z200US92057,ZCTA5 92057,57844,null
860Z200US92058,ZCTA5 92058,45389,null
860Z200US92059,ZCTA5 92059,1872,null
860Z200US92060,ZCTA5 92060,288,null
860Z200US92061,ZCTA5 92061,2246,null
860Z200US92064,ZCTA5 92064,48884,null
860Z200US92065,ZCTA5 92065,37047,null
860Z200US92066,ZCTA5 92066,330,null
860Z200US92067,ZCTA5 92067,9344,null
860Z200US92069,ZCTA5 92069,49407,null
860Z200US92070,ZCTA5 92070,1093,null
860Z200US92071,ZCTA5 92071,60163,null
860Z200US92075,ZCTA5 92075,12051,null
860Z200US92078,ZCTA5 92078,52347,null
860Z200US92081,ZCTA5 92081,28745,null
860Z200US92082,ZCTA5 92082,20860,null
860Z200US92083,ZCTA5 92083,39219,null
860Z200US92084,ZCTA5 92084,49941,null
860Z200US92086,ZCTA5 92086,1490,null
860Z200US92091,ZCTA5 92091,1571,null
860Z200US92092,ZCTA5 92092,5251,null
860Z200US92093,ZCTA5 92093,5076,null
860Z200US92096,ZCTA5 92096,35,null
860Z200US92101,ZCTA5 92101,47505,null
860Z200US92102,ZCTA5 92102,39783,null
860Z200US92103,ZCTA5 92103,33311,null
860Z200US92104,ZCTA5 92104,44265,null
860Z200US92105,ZCTA5 92105,66579,null
860Z200US92106,ZCTA5 92106,20214,null
860Z200US92107,ZCTA5 92107,28684,null
860Z200US92108,ZCTA5 92108,24266,null
860Z200US92109,ZCTA5 92109,44671,null
860Z200US92110,ZCTA5 92110,31048,null
860Z200US92111,ZCTA5 92111,46686,null
860Z200US92113,ZCTA5 92113,50457,null
860Z200US92114,ZCTA5 92114,66248,null
860Z200US92115,ZCTA5 92115,64251,null
860Z200US92116,ZCTA5 92116,31523,null
860Z200US92117,ZCTA5 92117,51505,null
860Z200US92118,ZCTA5 92118,20629,null
860Z200US92119,ZCTA5 92119,24298,null
860Z200US92120,ZCTA5 92120,30768,null
860Z200US92121,ZCTA5 92121,4658,null
860Z200US92122,ZCTA5 92122,45646,null
860Z200US92123,ZCTA5 92123,30937,null
860Z200US92124,ZCTA5 92124,30530,null
860Z200US92126,ZCTA5 92126,74788,null
860Z200US92127,ZCTA5 92127,52274,null
860Z200US92128,ZCTA5 92128,49083,null
860Z200US92129,ZCTA5 92129,52415,null
860Z200US92130,ZCTA5 92130,61595,null
860Z200US92131,ZCTA5 92131,36394,null
860Z200US92132,ZCTA5 92132,0,null
860Z200US92134,ZCTA5 92134,396,null
860Z200US92135,ZCTA5 92135,1610,null
860Z200US92136,ZCTA5 92136,7014,null
860Z200US92139,ZCTA5 92139,35771,null
860Z200US92140,ZCTA5 92140,2183,null
860Z200US92145,ZCTA5 92145,6057,null
860Z200US92147,ZCTA5 92147,256,null
860Z200US92154,ZCTA5 92154,84027,null
860Z200US92155,ZCTA5 92155,210,null
860Z200US92161,ZCTA5 92161,66,null
860Z200US92173,ZCTA5 92173,29703,null
860Z200US92179,ZCTA5 92179,3824,null
860Z200US92182,ZCTA5 92182,27,null
860Z200US92201,ZCTA5 92201,66989,null
860Z200US92203,ZCTA5 92203,31366,null
860Z200US92210,ZCTA5 92210,4757,null
860Z200US92211,ZCTA5 92211,26403,null
860Z200US92220,ZCTA5 92220,32947,null
860Z200US92222,ZCTA5 92222,64,null
860Z200US92223,ZCTA5 92223,59924,null
860Z200US92225,ZCTA5 92225,21104,null
860Z200US92227,ZCTA5 92227,27492,null
860Z200US92230,ZCTA5 92230,2650,null
860Z200US92231,ZCTA5 92231,39542,null
860Z200US92233,ZCTA5 92233,7019,null
860Z200US92234,ZCTA5 92234,51509,null
860Z200US92236,ZCTA5 92236,42220,null
860Z200US92239,ZCTA5 92239,292,null
860Z200US92240,ZCTA5 92240,40920,null
860Z200US92241,ZCTA5 92241,9270,null
860Z200US92242,ZCTA5 92242,1231,null
860Z200US92243,ZCTA5 92243,49149,null
860Z200US92249,ZCTA5 92249,6975,null
860Z200US92250,ZCTA5 92250,7883,null
860Z200US92251,ZCTA5 92251,25851,null
860Z200US92252,ZCTA5 92252,8463,null
860Z200US92253,ZCTA5 92253,37422,null
860Z200US92254,ZCTA5 92254,12414,null
860Z200US92256,ZCTA5 92256,3517,null
860Z200US92257,ZCTA5 92257,1676,null
860Z200US92258,ZCTA5 92258,1236,null
860Z200US92259,ZCTA5 92259,328,null
860Z200US92260,ZCTA5 92260,31641,null
860Z200US92262,ZCTA5 92262,26593,null
860Z200US92264,ZCTA5 92264,19254,null
860Z200US92266,ZCTA5 92266,198,null
860Z200US92267,ZCTA5 92267,86,null
860Z200US92268,ZCTA5 92268,489,null
860Z200US92270,ZCTA5 92270,16999,null
860Z200US92273,ZCTA5 92273,1694,null
860Z200US92274,ZCTA5 92274,19251,null
860Z200US92275,ZCTA5 92275,1390,null
860Z200US92276,ZCTA5 92276,7953,null
860Z200US92277,ZCTA5 92277,23988,null
860Z200US92278,ZCTA5 92278,6371,null
860Z200US92280,ZCTA5 92280,26,null
860Z200US92281,ZCTA5 92281,2122,null
860Z200US92282,ZCTA5 92282,1350,null
860Z200US92283,ZCTA5 92283,2695,null
860Z200US92284,ZCTA5 92284,25931,null
860Z200US92285,ZCTA5 92285,2769,null
860Z200US92301,ZCTA5 92301,38912,null
860Z200US92304,ZCTA5 92304,17,null
860Z200US92305,ZCTA5 92305,581,null
860Z200US92307,ZCTA5 92307,41649,null
860Z200US92308,ZCTA5 92308,42469,null
860Z200US92309,ZCTA5 92309,452,null
860Z200US92310,ZCTA5 92310,8102,null
860Z200US92311,ZCTA5 92311,34524,null
860Z200US92313,ZCTA5 92313,13150,null
860Z200US92314,ZCTA5 92314,10411,null
860Z200US92315,ZCTA5 92315,5148,null
860Z200US92316,ZCTA5 92316,31463,null
860Z200US92317,ZCTA5 92317,1089,null
860Z200US92320,ZCTA5 92320,10036,null
860Z200US92321,ZCTA5 92321,1310,null
860Z200US92322,ZCTA5 92322,1441,null
860Z200US92324,ZCTA5 92324,58626,null
860Z200US92325,ZCTA5 92325,9892,null
860Z200US92327,ZCTA5 92327,484,null
860Z200US92328,ZCTA5 92328,640,null
