,ZIP,Crime_Type,Crime_Count,Population,Crime_Rate
252,91303,personal,621,28457.0,0.021822398706820817
253,91303,property,1167,28457.0,0.04100924201426714
254,91304,personal,465,52386.0,0.008876417363417707
255,91304,property,701,52386.0,0.013381437788722177
256,91306,personal,583,46669.0,0.012492232531230581
257,91306,property,931,46669.0,0.019949002549872506
258,91307,personal,229,24855.0,0.009213437940052303
259,91307,property,543,24855.0,0.021846710923355463
260,91311,personal,533,39014.0,0.013661762444250781
261,91311,property,1135,39014.0,0.029092120777156918
262,91312,personal,17,0.0,1.0
263,91312,property,32,0.0,1.0
264,91316,personal,352,28777.0,0.01223199082600688
265,91316,property,928,28777.0,0.03224797581401814
266,91324,personal,440,29500.0,0.014915254237288136
267,91324,property,1075,29500.0,0.036440677966101696
268,91325,personal,351,35250.0,0.009957446808510639
269,91325,property,691,35250.0,0.019602836879432622
270,91326,personal,161,38041.0,0.004232275702531479
271,91326,property,501,38041.0,0.013170000788622802
272,91328,personal,89,0.0,1.0
273,91328,property,170,0.0,1.0
274,91330,personal,62,2273.0,0.027276726792784867
275,91330,property,138,2273.0,0.06071271447426309
276,91331,personal,1418,100720.0,0.014078633836378078
277,91331,property,1788,100720.0,0.017752184273232725
278,91335,personal,1099,76650.0,0.014337899543378996
279,91335,property,1659,76650.0,0.021643835616438355
280,91340,personal,244,34610.0,0.007049985553308292
281,91340,property,421,34610.0,0.012164114417798324
282,91342,personal,1062,96429.0,0.011013284385402732
283,91342,property,1550,96429.0,0.016074002634062366
284,91343,personal,821,62595.0,0.013116063583353302
285,91343,property,1359,62595.0,0.021710999281092738
286,91344,personal,444,52481.0,0.008460204645490748
287,91344,property,1136,52481.0,0.02164592900287723
288,91345,personal,273,18895.0,0.014448266737232072
289,91345,property,581,18895.0,0.03074887536385287
290,91352,personal,707,47274.0,0.014955366586284215
291,91352,property,1457,47274.0,0.030820324068198166
292,91355,property,2,32886.0,6.081615277017576e-05
293,91356,personal,387,30664.0,0.01262066266631881
294,91356,property,909,30664.0,0.02964388207670232
295,91364,personal,343,27071.0,0.012670385283144325
296,91364,property,843,27071.0,0.031140334675482988
