,listing_id,id,date,reviewer_id,reviewer_name,comments,Year
728980,22215734,244841887,2018-03-19,95476599,Jalen,Very clean and convenient space!,2018.0
728986,22215734,245087777,2018-03-20,57957505,Karra,"Isaacs studio was perfect for what we needed! We had a huge day travelling and it was just 5min from the car rental pick up spot.. super convenient and extremely easy to check in with the door codes! Isaac was helpful with communication in the lead up and during the stay- super quick at responding. The bed and pillows were really comfy, and the place in general was really cozy and refreshing. I would definitely stay again!!",2018.0
728987,22215734,245294900,2018-03-21,1718187,Stephen,"I only stayed at Isaac’s for one night on a quick layover, but it was clean and exactly as described. Loved the shower and the large TV, and incredibly close to LAX. Will stay again on my next layover.",2018.0
728999,22215734,245820302,2018-03-23,50537293,Frank,Very clean and modern looking. Perfect for a short stay. Very quiet and in sort of a secluded neighborhood.,2018.0
729000,22215734,246656688,2018-03-25,60116280,Stan,The space is amazingly clean and quiet and the closeness to LAX is great. Isaac gave detailed check-in directions and when we arrived at 1 in the morning we had no problem finding our place and getting settled. Highly recommended,2018.0
729001,22215734,246933006,2018-03-26,6015828,Babz,"Isaac’s place was ideal for us flying in from Mexico, staying a night at Isaac’s place and flying out the next morning to SFO.  The room was esthetically pleasing and clean with a very modern decor, comfortable bed and privacy.",2018.0
729002,22215734,247241695,2018-03-27,93148504,Tawni,"This place is super close to the airport, very modernized and spacious. Instructions to get inside were extremely descriptive which I appreciated. (#airbnbadventures) Very clean, small touches that made it homey, large tv,  and Isaac the host was quick to respond and very helpful. I loved the neighborhood too.",2018.0
729015,22215734,247505640,2018-03-28,99436171,Kierstin,Issac is quick to communicate and his place is spotless. It was a $10 ride to the airport early in the morning and he made check in and check out a breeze.,2018.0
729016,22215734,247765143,2018-03-29,60116280,Stan,Isaac has a great place to stay. If you're coming or going through LAX it is perfect. It has nice touches in a very comfortable space. When we are back in LA we will definitely stay there. Isaac is an excellent host.,2018.0
729017,22215734,248152613,2018-03-30,175922320,怜,very clean and nice room.,2018.0
729018,22215734,248549082,2018-03-31,77943944,Krzysztof,"Apartment is very clean and cozy. Great localization, close to airport and Venice Beach. Easy and comfortable check in. Perfect communication with Issac. Highly recommend!",2018.0
729019,22215734,249175157,2018-04-01,174978540,Sophia,Very comfortable and stylish room with private entrance and easy check in!,2018.0
729020,22215734,249762225,2018-04-02,17553244,Christian,Great host and great stay!,2018.0
729021,22215734,250072767,2018-04-03,40747820,Maia,Great helpful host.  Very easy communication.  A perfect place for a quick stay.,2018.0
729022,22215734,250345047,2018-04-04,104301521,Paola,"Great place! I traveled with my son, I felt very safe and supported by our host, he always attended to all my questions and the place is really pretty and clean. I Only stayed one night but we would like to stay there more days. I definitely will come back some day.<br/>Muchas gracias Isaac!",2018.0
729023,22215734,250959163,2018-04-06,93257918,Scott,Very clean and everything I required for a night stay before flying out. Perfect location to LAX.<br/>Would recommend highly.,2018.0
729024,22215734,251334661,2018-04-07,716038,Gabrielle,"Isaac's place is FANTASTIC! Isaac responds quickly to messages. His place is easy to access and he greeted us when we arrived, offering some tips on where to have dinner that evening. His place is super close to the airport which made dropping off our rental car very easy. On top of all that, the space is in a quiet spot, beautifully decorated and sparkling clean. You will love it!",2018.0
729025,22215734,252679769,2018-04-11,180924125,Gabrielle,Safe neighborhood right next to the airport! Very secluded private area of your own.,2018.0
729026,22215734,252950947,2018-04-12,5452594,Lori,Very tidy and exactly as pictured online. Coffee and tea and sparkling water were available - nice to have when you’re too tired to go anywhere! The bed was extremely comfy and the shower was nice. Great value so near to LAX!,2018.0
729027,22215734,253229839,2018-04-13,62704056,Joseph,"Very easy to check-in, no hassle at all. Quiet neighborhood, close to the airport. The room was amazing, extremely clean and private. I would strongly recommend this place and would definitely stay again if I’m in the area.",2018.0
729028,22215734,254468376,2018-04-16,140816603,Rebecca,"This was a great place to stay! Super close to rental car and airport, very clean, felt like home!  We would definitely stay here again.",2018.0
729029,22215734,254946645,2018-04-18,17458303,Nancy,"We were looking for a spot close to LAX, given our 6 AM departure time and need to be at the airport at 4:00 AM. Isaac's place is perfect for this. Comfortable bed, 5-10 minutes from airport on side streets, nice large TV. nice bathroom. he also provided some small amenities like water and soda that made a difference too. Thank you Isaac!",2018.0
729049,22215734,255202766,2018-04-19,3250827,Surba,Great location. Simple check-in process. Awesome value. Glad I chose Isaac’s place.,2018.0
729050,22215734,255493413,2018-04-20,8838082,John,"A great space for a couple or just a single traveler. The bathroom was beautiful, the bed was great, fell asleep as soon as I laid down. You can't beat the location because it is right there by LAX. It's a great feeling knowing you don't have to deal with LA traffic on the way to LAX traffic. I would definitely recommend staying here, if I don't grab it first.",2018.0
729051,22215734,256389979,2018-04-22,123527005,Christina,"Great space close to LAX! We were here on a layover, wish we could have stayed longer.",2018.0
729052,22215734,256829177,2018-04-23,256864,Seung,"This place is better than 4 start hotel for sure and so clean!!! This was the cleanest place that I stayed in Airbnb for sure!!! If you want clean and quiet, this is the place...",2018.0
729053,22215734,257054612,2018-04-24,84866614,Jayne,Isaac’s place is exactly what you need after a big weekend of traveling before a flight. It’s location and homeliness made it the ideal spot for a pre or post flight. Check in was super easy and Isaac provided a wealth of information and instruction to make it all that much easier. Would recommend and definitely would stay again,2018.0
729054,22215734,257329335,2018-04-25,74518769,Caitlin,"Great place to stay!! Really cute unit, great for a short stay or 1 night like us. Very close to the airport so perfect for a short layover. Unit was really clean, and very cosy we enjoyed our stay a lot!!",2018.0
729055,22215734,257884145,2018-04-27,5522143,Michael,"Highly recommend, super close to the airport, very nice, comes as advertised!",2018.0
729072,22215734,258213948,2018-04-28,5434439,Kathy,"This place is amazing. Spotlessly clean, great amenities--coffee maker, fridge, iron, great hair dyer, water and seltzer water in fridge, huge television, comfortable bed...I could go on and on.  We only stayed one night due to the close proximity to the airport, but would have stayed much longer if needed. Check in was a breeze (we arrived late, but only needed a code to get in) and check out time was perfect for our flight. I would definitely stay here again!! Amazing price for LA.",2018.0
729073,22215734,258783337,2018-04-29,55420779,Evelyn,Everything was perfect. Very happy with the extra amenities. Thank you!,2018.0
729074,22215734,259804472,2018-05-02,72734827,Patty,"Thanks for a lovely stay! Issac was kind enough to let us leave our luggage there before check in. The space was beautiful and comfortable, and a quick drive from the airport. Exactly what we were looking for!",2018.0
729075,22215734,260131664,2018-05-03,671633,Erin,"The place is perfect, really enjoyed our stay, the coffee machine is a treat. Thanks!",2018.0
729076,22215734,260382542,2018-05-04,178829877,Matthew,Isaac is a great host who responds quickly to messages. His place is clean and exactly as described. It's perfect for those wanting to be close to LAX for early flights.,2018.0
729077,22215734,260700352,2018-05-04,29951775,Myron,"Isaac’s place was clean and he communicated very well, would highly recommend staying here.",2018.0
729078,22215734,261048468,2018-05-05,178548609,Regielyn,"Isaac’s place was AWESOME! My boyfriend and I stayed for one night to explore Venice Beach and Santa Monica. The TV and artwork was really nice. It was very thoughtful to have a mini fridge with drinks, coffee maker and other eating utensils. We loved the finishing touches of the bonsai plants and the adjustable lamps by the bedside, highly recommend.  We would definitely stay here again.",2018.0
729079,22215734,261593054,2018-05-06,33149559,Camille,"So close to the airport and very well equipped with drawer/closet space, toiletries, etc! Easy and convenient check in routine that required no interaction — would stay again definitely!",2018.0
729080,22215734,262088535,2018-05-07,99773083,Henrique,"Isaac, thank you for everything, the bedroom was very cozy, comfortable and clean. No doubt this was the best bedroom we stayed during our honeymoon trip around California. I wish I stayed more days in your unit. Congrats for all attention and care, like having available bottles of water, coffee maker, soap, shampoo etc... room is very spacious, and recently renovated.<br/>5 stars!!",2018.0
